                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1341,                 4.6413,                 1.6901,                0.18895,                 0.1547,                0.07367,                0.03133,                 1.9946,                 3.9311,                 1.4966,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.1155,                 3.5429,                 1.5925,                0.37874,                0.41989,                0.29063,                0.12082,                 1.8797,                 2.9821,                  1.397,             0.00013945,             0.00013945,             0.00013945
                      3,                 1.8336,                 2.4862,                 1.3729,                0.42588,                0.45856,                0.35703,                 0.1359,                 1.9292,                 2.6738,                  1.424,             0.00021828,             0.00021828,             0.00021828
                      4,                 1.7575,                  2.239,                 1.2939,                0.39783,                0.41989,                0.36315,                0.14944,                 1.9049,                 2.4498,                 1.3719,             0.00029648,             0.00029648,             0.00029648
                      5,                   1.66,                 1.9635,                 1.3074,                0.34783,                0.39227,                0.30505,                0.13909,                 1.9186,                 2.2754,                 1.3449,             0.00037406,             0.00037406,             0.00037406
                      6,                 1.7009,                 1.7583,                 1.2753,                0.45541,                0.53591,                0.44156,                0.15782,                 1.9799,                 2.2998,                 1.3928,             0.00045102,             0.00045102,             0.00045102
                      7,                 1.6917,                 1.7588,                 1.3776,                0.34157,                0.38674,                0.30084,                0.11304,                 2.1957,                 2.5884,                 1.6429,             0.00052735,             0.00052735,             0.00052735
                      8,                 1.6729,                 1.5158,                 1.3577,                0.47819,                0.38122,                0.32979,                0.12461,                 2.1689,                 2.5035,                 1.5449,             0.00060305,             0.00060305,             0.00060305
                      9,                 1.6753,                 1.5298,                  1.317,                0.44765,                0.30387,                0.27829,                0.09978,                 2.0831,                 2.2994,                 1.5854,             0.00067813,             0.00067813,             0.00067813
                     10,                 1.7337,                 1.5958,                 1.3893,                0.32728,                0.33702,                0.20511,                0.07002,                 2.1878,                 2.6223,                 1.7038,             0.00075258,             0.00075258,             0.00075258
                     11,                 1.6754,                 1.4271,                 1.3276,                0.49124,                0.43094,                0.35666,                0.13426,                 2.1538,                 2.3199,                 1.6186,             0.00082641,             0.00082641,             0.00082641
