                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1559,                 4.4309,                 1.7008,                0.21249,                  0.161,                0.08105,                0.03686,                 1.9874,                 3.6515,                  1.485,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.0003,                 3.5801,                 1.5907,                0.50011,                0.37569,                0.34674,                0.14914,                 1.8474,                 2.9811,                 1.4062,             0.00013986,             0.00013986,             0.00013986
                      3,                  1.844,                 2.3799,                 1.3987,                0.48435,                0.46706,                0.38371,                0.16948,                 1.8759,                 2.7453,                 1.4354,             0.00021957,             0.00021957,             0.00021957
                      4,                 1.7666,                 2.2533,                 1.3685,                0.34566,                0.32105,                0.23477,                0.10293,                 1.9299,                 2.5319,                 1.4488,             0.00029912,             0.00029912,             0.00029912
                      5,                 1.6541,                 1.9163,                 1.3341,                 0.4046,                0.26519,                0.19165,                0.08672,                 2.0214,                 2.6883,                 1.5243,             0.00037852,             0.00037852,             0.00037852
                      6,                 1.8057,                 1.6801,                 1.4079,                0.38188,                0.27624,                0.22104,                0.09283,                 2.0839,                 2.8912,                 1.6156,             0.00045775,             0.00045775,             0.00045775
                      7,                 1.6845,                 1.7798,                 1.4288,                0.19032,                0.37017,                0.11111,                 0.0469,                 2.1036,                 4.4901,                 1.6469,             0.00053684,             0.00053684,             0.00053684
                      8,                 1.7292,                 1.5882,                 1.3955,                0.27716,                0.24786,                0.13359,                0.04484,                 2.0391,                 3.7395,                  1.547,             0.00061576,             0.00061576,             0.00061576
                      9,                  1.696,                 1.4694,                 1.3033,                0.30847,                 0.2366,                0.19062,                0.08163,                 2.0948,                 2.6803,                 1.6925,             0.00069453,             0.00069453,             0.00069453
                     10,                 1.7783,                 1.5596,                 1.4092,                0.08507,                0.12155,                0.04769,                0.02262,                  2.224,                 3.8402,                 1.7965,             0.00077315,             0.00077315,             0.00077315
                     11,                 1.7142,                  1.555,                 1.3132,                0.39441,                0.34184,                0.24032,                0.07359,                 2.3534,                 2.9619,                 1.8695,              0.0008516,              0.0008516,              0.0008516
                     12,                 1.6998,                 1.5121,                 1.3643,                0.16272,                0.13812,                0.05386,                0.02081,                 2.4055,                 4.0866,                 2.0704,              0.0009299,              0.0009299,              0.0009299
                     13,                 1.7255,                 1.4196,                 1.3677,                0.27847,                0.12707,                0.08196,                0.03618,                 2.4173,                 6.2935,                 1.9305,               0.001008,               0.001008,               0.001008
                     14,                 1.7309,                 1.4111,                 1.4046,                0.36998,                0.19468,                0.15431,                0.05059,                 2.3204,                 5.8439,                 1.7797,               0.001086,               0.001086,               0.001086
                     15,                 1.6802,                 1.4112,                 1.4036,                0.09598,                 0.1768,                0.04769,                  0.015,                 2.4905,                  7.725,                 1.9849,              0.0011639,              0.0011639,              0.0011639
                     16,                 1.5827,                 1.2058,                  1.265,                0.20243,                 0.1768,                0.10255,                0.03817,                 2.5743,                 3.3812,                 1.9574,              0.0012415,              0.0012415,              0.0012415
                     17,                  1.528,                 1.2173,                 1.2939,                0.36644,                 0.1989,                0.15469,                0.05057,                 2.4541,                 3.1607,                  1.897,              0.0013191,              0.0013191,              0.0013191
                     18,                 1.6324,                 1.2474,                 1.3239,                0.12513,                0.20442,                0.06652,                0.02604,                 2.5336,                 3.6415,                 1.9097,              0.0013964,              0.0013964,              0.0013964
                     19,                  1.551,                 1.2164,                   1.33,                0.03254,                0.06077,                0.01125,                0.00488,                 2.6243,                 5.9031,                 1.9917,              0.0014736,              0.0014736,              0.0014736
                     20,                 1.5637,                 1.2116,                 1.3206,                0.09275,                 0.0884,                0.02712,                0.00959,                 2.7153,                 4.0043,                 2.0399,              0.0015507,              0.0015507,              0.0015507
                     21,                 1.6208,                 1.2106,                 1.3244,                0.60498,                0.35912,                0.33857,                0.11168,                 2.3925,                 3.1274,                 1.9174,              0.0016276,              0.0016276,              0.0016276
