Dataset,AP,AP50,AP75,APs,APm,APl,True Positives,False Positives,False Negatives,pretrained_model_weights,max_iter,batch_size_per_image,base_lr
train,40.53619935046575,83.62661931533569,28.78255918303302,37.414865230506564,40.93015326818148,49.182234982366545,285.0,23.0,201.0,faster_rcnn_R_101_FPN_3x.yaml,256,512,0.00125
train,48.63947249267866,88.28171885320685,46.82348964384144,42.95536623800526,51.455368510250764,61.45725673768043,300.0,8.0,150.0,faster_rcnn_R_101_FPN_3x.yaml,512,512,0.00125
train,58.93201669797852,92.33832929367692,67.2154336027293,48.575419679329244,59.756499670725894,75.07847523825947,305.0,3.0,116.0,faster_rcnn_R_101_FPN_3x.yaml,1024,512,0.00125
train,67.2429453659572,95.64706045006763,80.5535442388461,54.524545765665366,71.31671739271303,87.03730638854091,307.0,1.0,67.0,faster_rcnn_R_101_FPN_3x.yaml,1024,640,0.00125
train,68.52219815814864,95.62972877780615,82.05300181942951,56.10072756186602,71.79771561638717,85.32651627731855,305.0,3.0,46.0,faster_rcnn_X_101_32x8d_FPN_3x.yaml,512,640,0.00125
train,89.44592860986323,97.71127552312944,97.69990921034642,83.80217637400989,91.24205583698051,97.1248487719392,308.0,0.0,55.0,faster_rcnn_X_101_32x8d_FPN_3x.yaml,2048,640,0.00125
