                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      5,                  4.152,                  4.039,                 3.5983,                0.00072,                 0.0442,                0.00086,                0.00029,                 4.8543,                 4.0047,                 3.8906,                0.06399,                0.00299,                0.00299
                      6,                 4.0373,                 3.9575,                 3.5348,                 0.0009,                0.05525,                0.00093,                0.00035,                 4.6865,                 4.2836,                  3.879,                0.05628,              0.0032798,              0.0032798
                      7,                 3.8804,                 3.9383,                 3.5505,                0.00081,                0.04972,                0.00114,                0.00035,                 4.6811,                 4.3984,                 3.7834,                0.04846,              0.0034595,              0.0034595
                      8,                 3.6214,                 3.9162,                 3.3652,                0.00117,                0.07182,                0.00317,                0.00093,                 4.5912,                 4.2276,                 3.6105,               0.040529,              0.0035291,              0.0035291
                      9,                 3.5235,                 3.6395,                 3.1478,                0.08836,                 0.0442,                0.02455,                0.01014,                 3.7323,                 4.3616,                 3.7042,               0.032489,              0.0034885,              0.0034885
                     10,                 3.6931,                  3.614,                 3.3541,                0.07095,                0.04972,                0.01805,                0.00448,                  3.767,                 4.9175,                 4.1194,               0.024338,              0.0033378,              0.0033378
                     11,                 3.4949,                 3.5082,                 3.2944,                0.09097,                0.08287,                0.02322,                0.00689,                 3.4888,                 5.5444,                 3.5362,               0.016077,               0.003077,               0.003077
                     12,                 3.5832,                 3.4618,                 3.1684,                0.04738,                 0.0663,                0.01776,                0.00628,                 3.6059,                 6.1471,                 3.9139,               0.007706,               0.002706,               0.002706
                     13,                 3.3476,                 3.3322,                 3.0881,                0.11845,                0.07182,                0.02776,                0.01052,                 3.8348,                 4.4825,                 3.7251,              0.0021601,              0.0021601,              0.0021601
                     14,                 3.3434,                 3.2801,                  3.093,                0.23798,                 0.1105,                0.05676,                 0.0223,                 3.8686,                  3.706,                 3.5548,              0.0014718,              0.0014718,              0.0014718
                     15,                 3.3282,                 3.2907,                 3.0799,                 0.3003,                0.10497,                0.07215,                0.02671,                 3.8691,                 3.4194,                 3.4701,             0.00078346,             0.00078346,             0.00078346
                      1,                 4.6278,                  3.562,                 5.7301,                0.00149,                 0.0221,                0.00105,                0.00036,                 3.8347,                 2.9896,                 5.0502,                0.09368,              0.0006797,              0.0006797
                      2,                 4.2756,                 3.2179,                 4.8846,                0.00149,                 0.0221,                0.00105,                0.00036,                 4.1013,                 2.9339,                 4.5343,               0.086361,              0.0013606,              0.0013606
                      3,                 4.1613,                 3.2414,                 4.5127,                0.00149,                 0.0221,                0.00105,                0.00036,                  4.137,                 2.9837,                 4.2533,               0.078939,              0.0019392,              0.0019392
                      4,                 3.8783,                  2.946,                 4.1315,                0.00126,                0.07735,                0.00091,                0.00026,                 4.1552,                 3.2203,                 3.9896,               0.071415,              0.0024155,              0.0024155
                      5,                 4.0459,                 2.8519,                 4.0385,                0.00072,                 0.0442,                0.00041,                0.00011,                 4.0645,                 3.0764,                 3.8831,               0.063789,              0.0027894,              0.0027894
                      6,                  3.643,                 2.8558,                 3.6521,                0.00117,                0.07182,                0.00247,                0.00066,                 3.9608,                 3.0669,                 3.6775,               0.056061,              0.0030611,              0.0030611
                      7,                 3.5777,                  2.759,                 3.6182,                 0.0009,                0.05525,                0.00254,                0.00066,                 3.8217,                 3.1651,                 3.6067,                0.04823,              0.0032305,              0.0032305
                      8,                 3.3968,                 2.6331,                 3.4889,                0.00099,                0.06077,                0.00074,                 0.0002,                 3.8098,                 3.1617,                 3.5942,               0.040298,              0.0032976,              0.0032976
                      9,                 3.3731,                 2.4352,                 3.4045,                0.00252,                0.14917,                0.00147,                0.00051,                 3.9687,                 19.709,                 4.1835,               0.032262,              0.0032623,              0.0032623
                     10,                 3.2751,                 2.4253,                 3.4053,                0.00276,                0.16575,                0.00164,                0.00065,                 3.9999,                    inf,                 10.206,               0.024125,              0.0031248,              0.0031248
                     11,                 3.1727,                 2.3895,                 3.3138,                 0.0055,                0.06077,                0.00298,                0.00101,                 3.8794,                    inf,                 7.0595,               0.015885,              0.0028849,              0.0028849
                     12,                  3.243,                 2.3048,                 3.2531,                0.01521,                 0.0884,                0.00554,                0.00194,                  3.746,                 13.335,                 4.2135,              0.0075428,              0.0025428,              0.0025428
                     13,                 3.1991,                 2.2737,                 3.2768,                0.09654,                0.09392,                0.02773,                0.00804,                 3.6554,                 2.6625,                 3.6521,              0.0020372,              0.0020372,              0.0020372
                     14,                 3.0378,                 2.1935,                 3.1946,                0.18017,                 0.1105,                 0.0594,                0.01717,                 3.5898,                 2.4467,                 3.4757,              0.0013978,              0.0013978,              0.0013978
                     15,                 3.0723,                 2.2522,                 3.2437,                0.19476,                0.11602,                 0.0676,                0.01909,                 3.5988,                 2.4015,                 3.4191,             0.00075844,             0.00075844,             0.00075844
                      1,                 3.7614,                 4.1483,                 5.2383,                0.00139,                 0.0221,                0.00093,                0.00025,                 3.2203,                 3.3598,                 4.5653,               0.093689,              0.0006888,              0.0006888
                      2,                 3.7746,                 3.7663,                 4.4402,                0.00139,                 0.0221,                0.00093,                0.00025,                 3.5036,                 3.4164,                 4.1591,               0.086379,              0.0013789,              0.0013789
                      3,                 3.8782,                 3.7125,                 4.2046,                0.00139,                 0.0221,                0.00093,                0.00025,                 3.6738,                 3.3583,                 4.0688,               0.078966,              0.0019655,              0.0019655
                      4,                 3.8221,                 3.6209,                 3.9408,                0.00072,                 0.0442,                0.00039,                0.00014,                 3.8054,                 3.2119,                 4.0309,               0.071449,              0.0024486,              0.0024486
                      5,                 3.6684,                 3.4805,                 3.7286,                0.00063,                0.03867,                 0.0004,                 0.0001,                  3.924,                 3.4528,                 3.9961,               0.063828,              0.0028281,              0.0028281
                      6,                 3.4151,                  3.362,                 3.5784,                0.00054,                0.03315,                0.00031,                  5e-05,                 4.0194,                 3.4822,                 4.0101,               0.056104,               0.003104,               0.003104
                      7,                 3.4804,                 3.2856,                 3.7005,                0.00036,                 0.0221,                0.00019,                  6e-05,                 3.9532,                 3.3736,                  3.796,               0.048276,              0.0032764,              0.0032764
                      8,                 3.2764,                 3.1568,                 3.5223,                0.00126,                0.07735,                0.00069,                0.00018,                 3.8616,                 3.4319,                 3.7172,               0.040345,              0.0033453,              0.0033453
                      9,                 3.2622,                 3.1511,                 3.3903,                0.00216,                 0.1326,                0.00131,                0.00037,                 3.9312,                 3.4114,                 3.8537,               0.032311,              0.0033107,              0.0033107
                     10,                 3.2787,                 3.1512,                 3.4435,                0.00198,                0.12155,                0.00131,                0.00047,                 3.9524,                 3.7706,                 3.8822,               0.024172,              0.0031725,              0.0031725
                     11,                 3.0226,                 2.9878,                 3.3813,                0.17289,                0.00552,                0.02126,                0.00515,                 3.9295,                 3.2453,                 3.8036,               0.015931,              0.0029307,              0.0029307
                     12,                  3.164,                 2.9813,                 3.3267,                0.24312,                 0.0221,                0.03004,                0.00803,                 3.8469,                 3.2414,                 3.6978,              0.0075854,              0.0025854,              0.0025854
                     13,                 3.0643,                 2.9469,                 3.2124,                 0.3121,                0.05525,                0.03907,                0.01364,                 3.7626,                 3.2015,                 4.0399,              0.0020744,              0.0020744,              0.0020744
                     14,                 2.9394,                 2.8843,                 3.2119,                0.25448,                 0.0663,                0.04867,                0.01671,                 3.7256,                 3.0924,                 3.9865,              0.0014272,              0.0014272,              0.0014272
                     15,                 2.8922,                 2.8954,                 3.2417,                0.25403,                 0.0884,                0.04961,                0.01993,                 3.8181,                 2.9509,                 3.8467,             0.00078008,             0.00078008,             0.00078008
                      1,                 4.1185,                 4.1016,                 4.7799,                0.00139,                 0.0221,                 0.0008,                0.00028,                 3.4771,                 3.3398,                 4.2146,               0.093776,              0.0007763,              0.0007763
                      2,                 3.8334,                 3.7454,                 3.9874,                0.00139,                 0.0221,                 0.0008,                0.00028,                 3.6783,                 3.3183,                 3.6489,               0.086554,              0.0015539,              0.0015539
                      3,                 3.6723,                  3.699,                 3.6157,                0.00139,                 0.0221,                 0.0008,                0.00028,                 3.6112,                 3.2983,                 3.3529,               0.079215,              0.0022147,              0.0022147
                      4,                 3.6283,                 3.4938,                 3.4228,                0.00117,                0.07182,                0.00093,                 0.0003,                 3.5551,                 3.3672,                 3.2191,               0.071759,              0.0027587,              0.0027587
                      5,                 3.5671,                 3.3634,                 3.2702,                0.00144,                 0.0884,                0.00112,                 0.0004,                  3.538,                 3.5274,                 3.2371,               0.064186,              0.0031858,              0.0031858
                      6,                 3.3779,                 3.2412,                 3.1293,                0.00252,                 0.1547,                0.00165,                0.00059,                  3.621,                 3.7694,                 3.3535,               0.056496,               0.003496,               0.003496
                      7,                 3.2096,                 3.1629,                 3.1182,                0.00207,                0.12707,                0.00233,                0.00074,                 3.6155,                 3.4886,                  3.391,               0.048689,              0.0036893,              0.0036893
                      8,                 3.0904,                 3.1058,                 2.9828,                0.00243,                0.14917,                0.01075,                0.00281,                  3.657,                 3.4582,                   3.44,               0.040766,              0.0037659,              0.0037659
                      9,                 3.1835,                 2.9388,                 2.9037,                0.20003,                0.00552,                0.01314,                0.00364,                 3.6739,                 3.4075,                 3.4261,               0.032726,              0.0037255,              0.0037255
                     10,                 3.1251,                 2.9417,                 2.9413,                0.03607,                0.01105,                0.00652,                0.00251,                  3.613,                 3.3879,                 3.2526,               0.024568,              0.0035683,              0.0035683
                     11,                  2.928,                 2.8943,                  2.857,                0.08701,                0.09005,                0.02545,                0.00832,                 3.3419,                 3.0566,                 3.1546,               0.016294,              0.0032943,              0.0032943
                     12,                 2.9255,                 2.7956,                 2.8008,                0.14729,                0.14365,                0.05546,                0.01501,                 3.2677,                 2.9551,                 3.1194,              0.0079033,              0.0029033,              0.0029033
                     13,                 2.9249,                 2.6917,                 2.8675,                0.21748,                0.11602,                0.05181,                0.01537,                 3.3149,                 2.9981,                 3.1018,              0.0023258,              0.0023258,              0.0023258
                     14,                  2.883,                  2.697,                 2.8299,                0.15433,                 0.1105,                0.05082,                0.01281,                 3.2974,                  3.056,                 3.0383,              0.0015954,              0.0015954,              0.0015954
                     15,                  2.817,                 2.7156,                 2.7544,                0.13337,                0.14917,                0.06065,                0.01622,                 3.3038,                 3.0829,                 3.0277,             0.00086509,             0.00086509,             0.00086509
                      1,                 4.7531,                 4.9979,                  5.537,                0.00139,                 0.0221,                0.00083,                0.00028,                 4.0411,                 4.1111,                 4.8815,               0.093729,              0.0007294,              0.0007294
                      2,                  4.851,                 4.4616,                 4.7888,                0.00139,                 0.0221,                0.00083,                0.00028,                 4.4204,                 4.0473,                 4.4616,                0.08646,              0.0014598,              0.0014598
                      3,                 4.7375,                 4.2162,                  4.433,                0.00139,                 0.0221,                0.00083,                0.00028,                 4.5824,                 4.0774,                 4.3548,                0.07908,                0.00208,                0.00208
                      4,                 4.4153,                 4.1147,                  4.094,                0.00139,                 0.0221,                0.00083,                0.00028,                 4.6474,                  4.286,                 4.2121,                0.07159,              0.0025901,              0.0025901
                      5,                 3.9832,                 3.8398,                 3.8309,                0.00045,                0.02762,                0.00031,                  8e-05,                 4.5217,                 4.3187,                 4.2391,                0.06399,                0.00299,                0.00299
                      6,                 3.6541,                 4.0378,                 3.6637,                0.00099,                0.06077,                0.00101,                0.00026,                 4.2945,                 4.4894,                 4.2411,                0.05628,              0.0032798,              0.0032798
                      7,                 3.6019,                 3.8754,                 3.7091,                0.00153,                0.09392,                0.00087,                0.00028,                 4.0677,                 4.7531,                 4.1074,                0.04846,              0.0034595,              0.0034595
                      8,                 3.4935,                 3.7485,                 3.5224,                0.00225,                0.13812,                0.00251,                  0.001,                 3.7066,                 4.7116,                 3.9224,               0.040529,              0.0035291,              0.0035291
                      9,                 3.5015,                 3.5343,                 3.3463,                0.12246,                0.04972,                0.02799,                0.00753,                 3.4858,                 4.4334,                 3.8074,               0.032489,              0.0034885,              0.0034885
                     10,                 3.3208,                 3.5536,                 3.3527,                0.02166,                0.03315,                 0.0053,                0.00194,                 3.3878,                 4.9113,                   3.63,               0.024338,              0.0033378,              0.0033378
                     11,                 3.3329,                 3.2998,                 3.3333,                0.05573,                0.03867,                0.01065,                0.00359,                 3.4086,                 4.4275,                 3.5534,               0.016077,               0.003077,               0.003077
                     12,                 3.2956,                 3.1287,                 3.2213,                0.06195,                0.03867,                0.01111,                0.00372,                 3.5508,                 4.1682,                 3.5839,               0.007706,               0.002706,               0.002706
                     13,                  3.201,                  3.077,                 3.1378,                0.15182,                 0.1105,                0.04705,                0.01487,                  3.577,                 4.0903,                 3.4989,              0.0021601,              0.0021601,              0.0021601
                     14,                 3.0446,                  2.905,                 3.0623,                0.25947,                0.09392,                0.06045,                0.01852,                 3.5821,                 4.3368,                 3.5525,              0.0014718,              0.0014718,              0.0014718
                     15,                 3.1086,                 2.9946,                 3.1069,                0.26361,                 0.0884,                0.05965,                0.02019,                 3.5034,                 3.7502,                 3.4764,             0.00078346,             0.00078346,             0.00078346
                      1,                   5.19,                 3.5634,                 5.4169,                0.00138,                 0.0221,                0.00085,                 0.0003,                 4.3139,                 2.9628,                 4.7682,               0.093531,              0.0005306,              0.0005306
                      2,                 4.7509,                  3.262,                 4.6192,                0.00138,                 0.0221,                0.00085,                 0.0003,                 4.6176,                 2.9287,                 4.2773,               0.086062,               0.001062,               0.001062
                      3,                 4.7312,                 3.2062,                 4.2911,                0.00081,                0.04972,                0.00045,                0.00015,                 4.6287,                 2.9362,                  4.017,               0.078513,              0.0015133,              0.0015133
                      4,                 4.4312,                 2.9872,                 3.9808,                0.00063,                0.03867,                0.00038,                0.00014,                 4.8361,                 3.0812,                 3.9113,               0.070885,              0.0018846,              0.0018846
                      5,                 4.6107,                 2.8955,                 3.9339,                0.00099,                0.06077,                0.00063,                 0.0002,                 4.7819,                 3.1287,                  3.865,               0.063176,              0.0021759,              0.0021759
                      6,                 4.0376,                 2.8144,                 3.6071,                0.00108,                 0.0663,                0.00097,                0.00021,                 4.7227,                 3.2734,                 3.7496,               0.055387,              0.0023872,              0.0023872
                      7,                 3.9591,                 2.7991,                 3.6689,                0.00144,                 0.0884,                 0.0008,                0.00024,                 4.6517,                 3.3699,                 3.7083,               0.047518,              0.0025184,              0.0025184
                      8,                 3.7317,                 2.5772,                 3.5794,                0.00162,                0.09945,                0.00089,                0.00023,                 4.6386,                 3.4064,                  3.724,                0.03957,              0.0025696,              0.0025696
                      9,                 3.8242,                 2.5043,                 3.3916,                0.00162,                0.09945,                 0.0099,                0.00135,                 4.4516,                 3.4111,                 3.8214,               0.031541,              0.0025407,              0.0025407
                     10,                 3.7726,                 2.5043,                 3.3974,                0.21445,                0.00552,                0.02079,                0.00523,                 4.3175,                 3.2262,                 3.9651,               0.023432,              0.0024319,              0.0024319
