                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9632,                 3.6048,                 1.4243,                0.00733,                0.06077,                 0.0055,                0.00178,                    nan,                    nan,                    nan,                0.00014,                0.00014,                0.00014
                      2,                 1.8725,                 2.6551,                    1.3,                0.00667,                0.05525,                0.00502,                0.00189,                    nan,                    nan,                    nan,             0.00029941,             0.00029941,             0.00029941
                      3,                 1.8149,                 2.4771,                  1.373,                  0.004,                0.03315,                0.00482,                0.00134,                    nan,                    nan,                    nan,             0.00045818,             0.00045818,             0.00045818
                      4,                 1.9095,                 2.2096,                 1.4481,                  0.008,                 0.0663,                0.00982,                0.00511,                    nan,                    nan,                    nan,             0.00061632,             0.00061632,             0.00061632
                      5,                 1.8381,                 2.3387,                 1.3775,                0.01267,                0.10497,                0.01307,                 0.0055,                    nan,                    nan,                    nan,             0.00077382,             0.00077382,             0.00077382
                      6,                 1.7042,                 1.9799,                 1.2678,                0.01133,                0.09392,                0.00764,                0.00313,                    nan,                    nan,                    nan,             0.00093069,             0.00093069,             0.00093069
                      7,                 1.8217,                 2.1553,                  1.378,                0.00667,                0.05525,                0.00859,                 0.0019,                    nan,                    nan,                    nan,              0.0010869,              0.0010869,              0.0010869
                      8,                 1.8795,                 2.0852,                 1.3518,                  0.026,                0.21547,                0.02499,                0.00734,                    nan,                    nan,                    nan,              0.0012425,              0.0012425,              0.0012425
                      9,                 1.7828,                 1.9794,                 1.3527,                0.09341,                0.27624,                0.10062,                0.03297,                    nan,                    nan,                    nan,              0.0013975,              0.0013975,              0.0013975
                     10,                  1.803,                 1.9153,                 1.3914,                  0.032,                0.26519,                0.07182,                0.02039,                    nan,                    nan,                    nan,              0.0015518,              0.0015518,              0.0015518
                     11,                 1.7529,                 1.8842,                 1.3387,                0.03267,                0.27072,                0.05635,                0.01649,                    nan,                    nan,                    nan,              0.0017055,              0.0017055,              0.0017055
                     12,                 1.7467,                 1.7543,                 1.3733,                0.02933,                0.24309,                0.03377,                 0.0107,                    nan,                    nan,                    nan,              0.0018586,              0.0018586,              0.0018586
                     13,                 1.7651,                 1.7396,                 1.3707,                0.13865,                0.09945,                0.06003,                0.01733,                    nan,                    nan,                    nan,              0.0019525,              0.0019525,              0.0019525
                     14,                 1.7914,                 1.7738,                 1.2714,                0.31818,                0.14365,                0.10145,                 0.0265,                    nan,                    nan,                    nan,              0.0019485,              0.0019485,              0.0019485
                     15,                 1.8671,                 1.7701,                 1.4052,                0.05141,                0.27072,                0.03392,                 0.0104,                    nan,                    nan,                    nan,              0.0019446,              0.0019446,              0.0019446
                     16,                 1.7533,                 1.7893,                 1.3532,                 0.1337,                0.25414,                 0.0593,                0.02038,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                     17,                 1.7667,                 1.7532,                 1.3635,                0.20894,                0.19337,                0.08325,                  0.025,                    nan,                    nan,                    nan,              0.0019366,              0.0019366,              0.0019366
                      1,                 1.9984,                 3.6388,                 1.4043,                0.00467,                0.03867,                0.00503,                0.00178,                    nan,                    nan,                    nan,                0.00014,                0.00014,                0.00014
                      2,                  1.906,                 2.7725,                 1.3263,                0.00733,                0.06077,                0.00756,                0.00229,                    nan,                    nan,                    nan,             0.00029072,             0.00029072,             0.00029072
                      3,                 1.8455,                 2.3401,                 1.3485,                  0.004,                0.03315,                0.00484,                0.00237,                    nan,                    nan,                    nan,             0.00043154,             0.00043154,             0.00043154
                      4,                 1.8255,                 2.0821,                 1.3344,                  0.004,                0.03315,                0.00727,                0.00448,                    nan,                    nan,                    nan,             0.00056246,             0.00056246,             0.00056246
                      5,                 1.7701,                 2.2664,                 1.2951,                0.00733,                0.06077,                0.00931,                0.00597,                    nan,                    nan,                    nan,             0.00068348,             0.00068348,             0.00068348
                      6,                 1.8572,                 2.0673,                 1.3333,                0.01933,                0.16022,                0.02074,                0.00738,                    nan,                    nan,                    nan,             0.00079459,             0.00079459,             0.00079459
                      7,                  1.752,                 1.9804,                 1.3618,                0.01867,                 0.1547,                0.01873,                0.00865,                    nan,                    nan,                    nan,             0.00089581,             0.00089581,             0.00089581
                      8,                 1.7743,                 1.9541,                 1.3313,                  0.018,                0.14917,                0.01782,                0.00808,                    nan,                    nan,                    nan,             0.00098713,             0.00098713,             0.00098713
                      9,                 1.7588,                 1.8978,                 1.3018,                0.00933,                0.07735,                0.01025,                0.00485,                    nan,                    nan,                    nan,              0.0010685,              0.0010685,              0.0010685
                     10,                 1.8183,                 2.0183,                 1.3351,                  0.016,                 0.1326,                0.01028,                0.00439,                    nan,                    nan,                    nan,              0.0011401,              0.0011401,              0.0011401
                     11,                 1.7352,                 1.7938,                 1.2812,                  0.038,                0.31492,                0.08628,                0.02961,                    nan,                    nan,                    nan,              0.0012017,              0.0012017,              0.0012017
                     12,                  1.804,                  1.725,                 1.3026,                0.46674,                0.14365,                0.17427,                0.05719,                    nan,                    nan,                    nan,              0.0012534,              0.0012534,              0.0012534
                     13,                 1.6929,                 1.7042,                 1.2928,                0.64101,                0.20442,                0.26376,                0.08394,                    nan,                    nan,                    nan,              0.0012575,              0.0012575,              0.0012575
                     14,                 1.7201,                 1.5904,                 1.2478,                0.45365,                 0.1326,                 0.1395,                0.05452,                    nan,                    nan,                    nan,              0.0011956,              0.0011956,              0.0011956
                     15,                 1.7412,                 1.6351,                 1.2847,                 0.4574,                0.09392,                0.11634,                0.04153,                    nan,                    nan,                    nan,              0.0011337,              0.0011337,              0.0011337
                     16,                  1.705,                 1.5759,                 1.2724,                0.35193,                0.13812,                0.14695,                0.04936,                    nan,                    nan,                    nan,              0.0010719,              0.0010719,              0.0010719
                     17,                 1.6399,                 1.6339,                 1.2444,                0.43116,                0.24862,                0.22839,                0.07861,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     18,                 1.6305,                 1.5102,                 1.2208,                0.43365,                0.26519,                0.25927,                0.08234,                    nan,                    nan,                    nan,             0.00094812,             0.00094812,             0.00094812
                     19,                 1.5091,                 1.4647,                 1.1923,                0.55864,                0.29282,                0.27955,                0.09055,                    nan,                    nan,                    nan,             0.00088625,             0.00088625,             0.00088625
                     20,                 1.5586,                 1.4492,                 1.2869,                0.58715,                0.26519,                0.27216,                0.08798,                    nan,                    nan,                    nan,             0.00082438,             0.00082438,             0.00082438
                     21,                 1.5835,                  1.436,                  1.254,                0.53858,                0.29021,                0.26802,                0.08915,                    nan,                    nan,                    nan,              0.0007625,              0.0007625,              0.0007625
                     22,                 1.5565,                 1.2878,                 1.2044,                0.58582,                0.31258,                0.27414,                0.08392,                    nan,                    nan,                    nan,             0.00070063,             0.00070063,             0.00070063
                     23,                 1.5973,                 1.3889,                 1.2186,                0.52129,                0.26519,                 0.2494,                0.08392,                    nan,                    nan,                    nan,             0.00063875,             0.00063875,             0.00063875
                     24,                 1.5458,                 1.4094,                 1.2069,                0.53706,                 0.2564,                0.26179,                0.08972,                    nan,                    nan,                    nan,             0.00057688,             0.00057688,             0.00057688
                     25,                 1.5642,                  1.394,                 1.1992,                0.53835,                0.28177,                0.26758,                0.09547,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     26,                 1.5275,                 1.3728,                 1.2051,                0.59151,                0.32597,                0.32164,                0.11111,                    nan,                    nan,                    nan,             0.00045313,             0.00045313,             0.00045313
                     27,                 1.4777,                 1.3074,                 1.1509,                0.58932,                0.33299,                0.32822,                0.11355,                    nan,                    nan,                    nan,             0.00039125,             0.00039125,             0.00039125
                     28,                 1.4029,                 1.2584,                 1.1436,                0.61207,                0.34807,                0.33583,                0.11286,                    nan,                    nan,                    nan,             0.00032938,             0.00032938,             0.00032938
                     29,                 1.4661,                 1.2917,                  1.175,                0.59076,                0.34254,                0.32558,                0.11196,                    nan,                    nan,                    nan,              0.0002675,              0.0002675,              0.0002675
                     30,                 1.4196,                 1.2386,                 1.1245,                0.55446,                0.33702,                0.33126,                0.11099,                    nan,                    nan,                    nan,             0.00020562,             0.00020562,             0.00020562
                     31,                 1.4888,                 1.2571,                 1.2056,                0.57323,                0.34136,                0.33127,                0.11488,                    nan,                    nan,                    nan,             0.00014375,             0.00014375,             0.00014375
                     32,                  1.443,                 1.2414,                 1.1683,                0.57731,                0.32597,                0.32261,                0.11059,                    nan,                    nan,                    nan,             8.1875e-05,             8.1875e-05,             8.1875e-05
