                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1091,                 4.2866,                 1.6859,                0.21066,                0.18232,                0.09762,                0.04338,                 2.0209,                  3.571,                 1.4937,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.9422,                 3.5606,                 1.5556,                0.40758,                0.36872,                0.28354,                  0.124,                 1.9173,                 2.9117,                 1.4146,             0.00013973,             0.00013973,             0.00013973
                      3,                 1.8174,                  2.463,                 1.3856,                 0.3717,                0.40884,                0.30126,                0.13099,                 1.9183,                 2.8203,                 1.4495,             0.00021914,             0.00021914,             0.00021914
                      4,                 1.8054,                 2.1327,                 1.4082,                0.37799,                0.46409,                0.33293,                 0.1383,                 1.9725,                 2.3379,                 1.5246,             0.00029824,             0.00029824,             0.00029824
                      5,                 1.6781,                 1.9046,                 1.3054,                0.32513,                0.32597,                0.23019,                0.08529,                 2.0408,                 2.7223,                 1.5718,             0.00037703,             0.00037703,             0.00037703
                      6,                  1.686,                 1.7148,                 1.2607,                0.38282,                0.46961,                0.30745,                0.12723,                 1.9852,                 2.4715,                 1.5443,             0.00045551,             0.00045551,             0.00045551
                      7,                 1.6625,                 1.6829,                  1.336,                0.44433,                0.44621,                0.41046,                0.14555,                 2.1075,                 2.1787,                 1.6248,             0.00053367,             0.00053367,             0.00053367
                      8,                 1.6833,                 1.5177,                 1.3226,                0.18825,                0.39779,                0.13017,                0.04478,                 2.0419,                 3.0443,                 1.4435,             0.00061152,             0.00061152,             0.00061152
                      9,                 1.7087,                 1.5479,                 1.3378,                0.56997,                0.40884,                0.42666,                0.15807,                 2.0081,                 2.0936,                 1.3921,             0.00068906,             0.00068906,             0.00068906
                     10,                  1.705,                 1.4612,                 1.3299,                 0.3658,                0.24862,                0.23347,                0.09868,                 2.1241,                 2.5253,                 1.5302,             0.00076629,             0.00076629,             0.00076629
                     11,                 1.7153,                 1.5859,                 1.3338,                0.41331,                0.45856,                0.39564,                0.14091,                  2.254,                 2.3503,                 1.7041,              0.0008432,              0.0008432,              0.0008432
                     12,                 1.5921,                 1.4602,                 1.3508,                0.51824,                0.35912,                 0.3406,                0.10937,                  2.252,                 2.6251,                 1.7393,             0.00091981,             0.00091981,             0.00091981
                     13,                 1.7686,                 1.4095,                 1.3938,                0.17832,                0.43094,                 0.1121,                0.03744,                 2.2148,                 5.3815,                 1.7494,              0.0009961,              0.0009961,              0.0009961
                     14,                 1.7669,                 1.5235,                 1.4534,                0.50818,                0.48066,                 0.4269,                0.16859,                 2.1761,                 2.2572,                 1.6556,              0.0010721,              0.0010721,              0.0010721
                     15,                 1.6662,                 1.4014,                 1.3972,                0.43184,                0.43646,                0.36178,                  0.124,                 2.3347,                 2.5659,                 1.8235,              0.0011477,              0.0011477,              0.0011477
                     16,                 1.5975,                 1.3411,                 1.3137,                0.42115,                0.37569,                0.29492,                0.08938,                 2.5241,                 3.4085,                 2.0669,              0.0012231,              0.0012231,              0.0012231
                     17,                 1.5784,                 1.2276,                 1.3055,                0.30715,                0.18785,                0.11529,                0.04171,                 2.6108,                 5.3683,                 2.5157,              0.0012981,              0.0012981,              0.0012981
                     18,                 1.5747,                 1.2848,                 1.2832,                0.06864,                0.16575,                0.03476,                0.01194,                 2.5577,                 5.1023,                 2.2361,              0.0013729,              0.0013729,              0.0013729
                     19,                 1.6327,                  1.297,                 1.3464,                0.04853,                0.27624,                0.02881,                0.01035,                 2.4425,                 11.599,                 3.4468,              0.0014473,              0.0014473,              0.0014473
