                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9096,                 4.4805,                 3.9151,                0.00126,                 0.0221,                0.00087,                0.00026,                 3.2374,                 3.7089,                 3.5271,                 0.0937,                 0.0007,                 0.0007
                      2,                 3.9518,                  4.054,                 3.3988,                0.00087,                 0.0221,                0.00057,                0.00031,                 3.5404,                 3.7014,                 3.2075,               0.086203,               0.001203,               0.001203
                      3,                 3.8961,                 3.8361,                 3.1033,                0.00036,                 0.0221,                0.00021,                  9e-05,                 3.6114,                 3.8487,                 3.0408,               0.078389,              0.0013892,              0.0013892
                      4,                  3.538,                 3.5974,                 2.9014,                0.00099,                0.06077,                0.00089,                0.00046,                 3.5859,                 4.0107,                 2.8407,               0.070259,              0.0012586,              0.0012586
                      5,                 3.3581,                 3.5641,                 2.7992,                 0.0009,                0.05525,                0.00119,                0.00063,                 3.5166,                 4.1414,                 2.7648,               0.061811,              0.0008112,              0.0008112
                      1,                 4.0228,                 4.6652,                 4.0616,                0.00139,                 0.0221,                0.00088,                0.00029,                 3.5897,                 3.6394,                 3.6989,                 0.0973,                 0.0003,                 0.0003
                      2,                 3.7014,                   4.16,                 3.6932,                0.00049,                 0.0221,                0.00026,                0.00016,                 3.4532,                 3.5135,                 3.3984,               0.093561,              0.0005614,              0.0005614
                      3,                 3.8386,                  3.929,                 3.3568,                0.00049,                 0.0221,                0.00026,                0.00016,                 3.4733,                 3.6009,                 3.1754,               0.089664,              0.0006644,              0.0006644
                      4,                 3.8585,                 3.7988,                 3.2148,                0.00049,                 0.0221,                0.00026,                0.00016,                 3.5097,                 3.7706,                 3.0193,               0.085609,               0.000609,               0.000609
                      5,                 3.5983,                 3.5995,                 3.1045,                0.00049,                 0.0221,                0.00026,                0.00016,                 3.5186,                  3.974,                 2.9156,               0.081395,              0.0003952,              0.0003952
                      1,                  3.283,                  4.352,                 4.3611,                0.00142,                 0.0221,                0.00155,                0.00053,                 2.9607,                 3.4136,                 3.9698,               0.097292,              0.0002919,              0.0002919
                      2,                 3.0399,                 3.8508,                 3.9498,                 0.0006,                 0.0221,                0.00032,                 0.0002,                   2.83,                 3.3071,                 3.6286,               0.093546,             0.00054646,             0.00054646
                      3,                 3.1383,                 3.7412,                 3.6156,                 0.0006,                 0.0221,                0.00032,                 0.0002,                 2.8219,                 3.4096,                  3.378,               0.089647,             0.00064715,             0.00064715
                      4,                  3.152,                 3.6073,                  3.472,                 0.0006,                 0.0221,                0.00032,                 0.0002,                 2.8464,                 3.3779,                 3.2334,               0.085594,             0.00059396,             0.00059396
                      5,                 2.9462,                 3.4588,                 3.3432,                0.00018,                0.01105,                  9e-05,                  4e-05,                   2.86,                 3.5043,                  3.162,               0.081387,              0.0003869,              0.0003869
                      1,                 4.0135,                 4.4912,                 3.8907,                0.00139,                 0.0221,                0.00076,                0.00031,                 3.5782,                 3.5486,                 3.5685,               0.097272,              0.0002724,              0.0002724
                      2,                 3.6937,                 3.9875,                 3.5212,                0.00049,                 0.0221,                0.00026,                0.00017,                 3.4281,                 3.3815,                 3.2686,                0.09351,             0.00051015,             0.00051015
                      3,                 3.7578,                 3.8217,                 3.1882,                0.00049,                 0.0221,                0.00026,                0.00017,                 3.4389,                 3.4544,                 3.0234,               0.089605,             0.00060452,             0.00060452
                      4,                 3.8059,                 3.7311,                 3.0204,                0.00049,                 0.0221,                0.00026,                0.00017,                  3.444,                 3.5187,                 2.8391,               0.085556,             0.00055551,             0.00055551
                      5,                 3.7082,                  3.583,                 2.9156,                0.00045,                0.02762,                0.00027,                  9e-05,                 3.5157,                 3.6439,                 2.7312,               0.081363,             0.00036313,             0.00036313
                      1,                 3.5185,                 4.3383,                 4.3689,                0.00139,                 0.0221,                 0.0009,                0.00032,                 3.1508,                 3.3973,                 3.9777,               0.097279,               0.000279,               0.000279
