                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0333,                 3.8423,                 1.5441,                0.00514,                0.31492,                0.00677,                0.00288,                 1.8547,                 3.5925,                   1.48,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.0348,                 3.6664,                 1.5162,                0.00757,                0.46409,                0.01396,                0.00623,                 1.7869,                  3.526,                 1.4109,             0.00013945,             0.00013945,             0.00013945
                      3,                 1.8593,                 2.8849,                 1.3673,                0.00901,                0.55249,                 0.0595,                0.02568,                 1.8021,                 3.3862,                 1.3218,             0.00021828,             0.00021828,             0.00021828
                      4,                  1.883,                 2.6127,                 1.3481,                   0.01,                0.61326,                0.06609,                0.02292,                 1.8224,                 3.3628,                 1.3313,             0.00029648,             0.00029648,             0.00029648
                      5,                 1.7297,                  2.409,                 1.3332,                0.01009,                0.61878,                0.04348,                0.01632,                 1.7761,                 3.4365,                 1.3562,             0.00037406,             0.00037406,             0.00037406
                      6,                 1.7001,                 2.3481,                 1.3265,                0.00874,                0.53591,                0.04278,                0.01437,                 1.8471,                 3.4326,                 1.3825,             0.00045102,             0.00045102,             0.00045102
                      7,                 1.7037,                 2.3016,                 1.3462,                0.00838,                0.51381,                0.02485,                0.00929,                 1.8718,                 3.4736,                 1.4112,             0.00052735,             0.00052735,             0.00052735
                      8,                 1.6938,                 2.1129,                 1.3448,                0.00838,                0.51381,                0.01554,                0.00759,                 1.9012,                  3.449,                 1.3714,             0.00060305,             0.00060305,             0.00060305
                      9,                  1.661,                 1.9905,                 1.2682,                0.00703,                0.43094,                0.01106,                0.00399,                 2.0015,                 3.5171,                 1.4681,             0.00067813,             0.00067813,             0.00067813
                     10,                 1.6413,                 1.9757,                 1.3299,                 0.0073,                0.44751,                0.01162,                 0.0057,                 2.1342,                 3.6268,                 1.5775,             0.00075258,             0.00075258,             0.00075258
                     11,                 1.6991,                 1.9329,                  1.277,                0.00586,                0.35912,                0.00466,                0.00187,                 2.1193,                 3.7291,                 1.6924,             0.00082641,             0.00082641,             0.00082641
                     12,                 1.6582,                 1.8747,                 1.3417,                0.04842,                0.01657,                0.00858,                0.00307,                 2.1043,                 3.6566,                  1.705,             0.00089961,             0.00089961,             0.00089961
                     13,                 1.7125,                 1.7855,                 1.3704,                0.07705,                0.01657,                0.00794,                0.00328,                 2.1911,                 3.7304,                 1.8543,             0.00097219,             0.00097219,             0.00097219
                     14,                 1.6592,                 1.7753,                 1.3355,                0.05403,                 0.0221,                0.01163,                0.00581,                 2.1858,                  3.809,                 1.8047,              0.0010441,              0.0010441,              0.0010441
                     15,                 1.6778,                 1.7941,                 1.3332,                0.03168,                 0.0221,                0.00813,                 0.0034,                 2.0357,                 3.7267,                 1.6396,              0.0011155,              0.0011155,              0.0011155
                     16,                 1.6239,                 1.6485,                 1.2704,                0.08409,                0.04972,                0.02714,                0.01123,                 2.0351,                  3.281,                  1.519,              0.0011862,              0.0011862,              0.0011862
                     17,                 1.6111,                 1.6727,                 1.2505,                0.25694,                 0.0884,                0.06829,                0.02855,                 2.0422,                 2.9681,                 1.4429,              0.0012563,              0.0012563,              0.0012563
                     18,                  1.624,                 1.6884,                 1.3041,                 0.1122,                0.03867,                0.04905,                0.01715,                 2.1291,                 3.0221,                 1.4675,              0.0013257,              0.0013257,              0.0013257
                     19,                 1.6011,                 1.6248,                  1.288,                0.23506,                0.08287,                0.07548,                0.02727,                 2.0951,                 3.0529,                 1.5101,              0.0013945,              0.0013945,              0.0013945
                     20,                 1.5755,                 1.5374,                 1.2666,                 0.2904,                0.07735,                0.07006,                0.02348,                 2.1576,                 3.1519,                 1.5476,              0.0014627,              0.0014627,              0.0014627
                     21,                  1.558,                 1.5288,                 1.2364,                 0.1138,                0.05525,                0.03997,                0.01242,                 2.1674,                 3.3702,                 1.6306,              0.0015303,              0.0015303,              0.0015303
                     22,                 1.5508,                 1.5352,                 1.2926,                0.31987,                0.11954,                0.13297,                0.05288,                 2.1256,                 3.0142,                 1.5665,              0.0015973,              0.0015973,              0.0015973
                     23,                 1.6787,                 1.4771,                 1.2985,                 0.6496,                0.08197,                 0.1127,                0.04439,                 2.2034,                 3.2907,                 1.6997,              0.0016636,              0.0016636,              0.0016636
                     24,                 1.6306,                 1.5753,                 1.2503,                0.53085,                0.05631,                0.11788,                0.04593,                 2.4088,                 3.3334,                  1.928,              0.0017293,              0.0017293,              0.0017293
                     25,                 1.6417,                 1.4721,                 1.2952,                0.36629,                 0.1105,                0.12358,                0.05025,                 2.3405,                 2.9635,                 1.8702,              0.0017944,              0.0017944,              0.0017944
                     26,                 1.5884,                 1.4058,                 1.3083,                0.35204,                0.16575,                0.15362,                0.06227,                  2.257,                 2.7855,                 1.7705,              0.0018047,              0.0018047,              0.0018047
                     27,                 1.5982,                 1.4082,                 1.2685,                0.49268,                0.14365,                0.15487,                0.05936,                 2.2114,                 2.9311,                 1.7044,              0.0017969,              0.0017969,              0.0017969
                     28,                 1.5652,                 1.4054,                 1.2322,                0.43273,                 0.1989,                0.21366,                0.08833,                 2.1336,                 2.5299,                 1.6044,              0.0017891,              0.0017891,              0.0017891
                     29,                 1.5212,                 1.3214,                 1.2187,                0.45638,                0.18232,                0.20476,                 0.0686,                 2.2546,                 2.7487,                 1.6676,              0.0017813,              0.0017813,              0.0017813
                     30,                 1.5722,                 1.3437,                 1.2724,                0.42734,                0.27623,                0.25555,                0.09204,                 2.2134,                 2.5034,                 1.6224,              0.0017735,              0.0017735,              0.0017735
                     31,                 1.7077,                 1.3117,                 1.2649,                0.20666,                0.33702,                0.16707,                 0.0548,                 2.3418,                 2.5959,                 1.6622,              0.0017656,              0.0017656,              0.0017656
                     32,                 1.6041,                 1.3563,                 1.2745,                0.16617,                0.29282,                0.12151,                0.04577,                  2.336,                 2.5184,                 1.6361,              0.0017578,              0.0017578,              0.0017578
                     33,                 1.6135,                 1.3784,                 1.2597,                0.28878,                0.24862,                0.13592,                0.04375,                 2.3639,                 2.7097,                 1.6484,                0.00175,                0.00175,                0.00175
                     34,                 1.5418,                 1.2993,                 1.2655,                0.44832,                0.35021,                0.32857,                0.11239,                 2.2745,                 2.3611,                 1.6446,              0.0017422,              0.0017422,              0.0017422
                     35,                 1.5277,                 1.2702,                 1.2676,                0.52534,                0.43646,                0.45138,                0.17452,                 2.0158,                 2.0736,                 1.4579,              0.0017344,              0.0017344,              0.0017344
                     36,                 1.5753,                 1.2832,                 1.2837,                0.45496,                0.42429,                0.41626,                0.15149,                  2.106,                  2.041,                 1.5572,              0.0017266,              0.0017266,              0.0017266
                     37,                 1.5069,                  1.212,                 1.2316,                0.50694,                0.43094,                0.41541,                0.16855,                 2.0506,                 2.0703,                 1.4822,              0.0017188,              0.0017188,              0.0017188
                     38,                   1.44,                 1.1602,                 1.1837,                0.43708,                 0.4676,                0.39326,                0.15928,                 2.0974,                 1.9192,                 1.5152,               0.001711,               0.001711,               0.001711
                     39,                 1.4707,                 1.1252,                 1.1785,                0.42338,                0.49724,                0.38255,                0.14585,                 2.0997,                 1.8685,                 1.5076,              0.0017032,              0.0017032,              0.0017032
                     40,                  1.433,                 1.1144,                 1.1388,                0.49795,                0.48619,                0.41177,                0.15159,                 2.1594,                  1.921,                 1.5242,              0.0016953,              0.0016953,              0.0016953
                     41,                 1.4253,                 1.0656,                   1.18,                0.49892,                0.41809,                0.38318,                0.15264,                 2.1413,                  2.137,                  1.497,              0.0016875,              0.0016875,              0.0016875
                     42,                 1.4101,                 1.1534,                 1.1921,                0.51492,                0.36362,                0.36736,                 0.1491,                 2.1263,                 2.2881,                 1.5032,              0.0016797,              0.0016797,              0.0016797
                     43,                 1.4583,                 1.1124,                 1.1831,                0.48983,                0.39227,                0.32805,                0.12574,                  2.085,                  2.229,                  1.505,              0.0016719,              0.0016719,              0.0016719
                     44,                 1.4859,                 1.0889,                 1.1751,                0.37914,                0.34414,                0.25603,                0.09432,                  2.147,                 2.2928,                 1.5836,              0.0016641,              0.0016641,              0.0016641
                     45,                 1.4484,                 1.0933,                 1.2197,                0.23075,                0.39779,                 0.1788,                0.07766,                 2.0906,                 2.3489,                 1.5843,              0.0016563,              0.0016563,              0.0016563
                     46,                 1.4635,                 1.1118,                 1.2288,                0.40922,                0.27072,                0.23152,                0.10441,                 2.0749,                 2.1206,                 1.6207,              0.0016485,              0.0016485,              0.0016485
                     47,                 1.4161,                 1.0222,                 1.1626,                0.40678,                0.29834,                0.25669,                0.12241,                  2.031,                 2.0065,                 1.5218,              0.0016407,              0.0016407,              0.0016407
                     48,                  1.481,                 1.0804,                 1.1805,                0.41764,                0.34254,                0.29705,                0.13685,                 1.9804,                 1.9001,                 1.4935,              0.0016328,              0.0016328,              0.0016328
                     49,                  1.423,                 1.0317,                 1.1549,                0.48477,                0.36908,                0.34496,                0.16099,                 2.0606,                 1.8522,                 1.5533,               0.001625,               0.001625,               0.001625
                     50,                 1.3856,                 1.0175,                 1.1985,                0.45387,                 0.3857,                0.35409,                0.16184,                 2.0997,                 1.9844,                 1.5852,              0.0016172,              0.0016172,              0.0016172
                     51,                 1.3937,                 1.0168,                 1.1322,                0.53008,                0.33149,                0.33112,                0.14141,                 2.0904,                 2.1122,                 1.5286,              0.0016094,              0.0016094,              0.0016094
                     52,                 1.4342,                  1.073,                 1.2011,                 0.5369,                0.33949,                0.35941,                0.15649,                 2.1105,                 1.9505,                 1.5067,              0.0016016,              0.0016016,              0.0016016
                     53,                 1.4122,                0.98417,                  1.177,                0.49253,                0.33246,                0.33418,                0.14915,                 2.1515,                 1.9523,                 1.5093,              0.0015938,              0.0015938,              0.0015938
                     54,                 1.4512,                0.99199,                 1.1642,                0.34966,                0.33149,                0.28698,                0.12183,                 2.1796,                 1.9827,                 1.5457,               0.001586,               0.001586,               0.001586
                     55,                 1.4044,                 1.0031,                 1.1852,                0.39209,                0.41989,                0.34539,                0.13921,                 2.1594,                 1.9626,                 1.5546,              0.0015782,              0.0015782,              0.0015782
                     56,                 1.4121,                  1.034,                 1.1822,                0.49408,                0.46961,                0.41683,                0.14425,                  2.265,                 1.9535,                 1.6273,              0.0015704,              0.0015704,              0.0015704
                     57,                 1.4945,                 1.0248,                 1.2292,                0.42928,                0.41989,                0.32083,                0.11825,                 2.2458,                 2.2586,                 1.6144,              0.0015625,              0.0015625,              0.0015625
                     58,                 1.3608,                 1.0023,                 1.1649,                0.49945,                0.41436,                0.37916,                0.13785,                 2.2107,                 1.9916,                 1.5638,              0.0015547,              0.0015547,              0.0015547
                     59,                 1.3762,                0.95796,                   1.14,                0.62573,                0.44751,                0.48953,                0.19895,                 2.0055,                 1.6907,                 1.4588,              0.0015469,              0.0015469,              0.0015469
                     60,                 1.3913,                0.98446,                  1.157,                0.57896,                0.53039,                0.51989,                0.20385,                 2.1167,                 1.6058,                 1.4972,              0.0015391,              0.0015391,              0.0015391
                     61,                 1.3749,                0.94453,                 1.1556,                0.59059,                0.54144,                0.52573,                0.20833,                 2.0546,                 1.5884,                 1.4613,              0.0015313,              0.0015313,              0.0015313
                     62,                 1.3329,                0.96732,                 1.1667,                0.54049,                0.51381,                 0.4898,                0.20078,                  2.149,                 1.6716,                 1.4975,              0.0015235,              0.0015235,              0.0015235
                     63,                 1.3486,                0.93439,                  1.175,                0.50467,                0.51381,                0.49033,                   0.21,                 2.0871,                 1.7354,                 1.4857,              0.0015157,              0.0015157,              0.0015157
                     64,                 1.3253,                0.96726,                 1.1466,                0.48537,                0.54144,                0.45875,                0.18863,                 2.1048,                 1.8188,                 1.5155,              0.0015079,              0.0015079,              0.0015079
                     65,                  1.318,                0.88779,                  1.183,                0.58369,                0.53039,                0.48476,                0.18097,                  2.121,                 1.7813,                 1.5266,                 0.0015,                 0.0015,                 0.0015
                     66,                 1.3106,                0.93478,                 1.1749,                0.58239,                0.48066,                0.44963,                0.17603,                  2.153,                 1.7846,                 1.5355,              0.0014922,              0.0014922,              0.0014922
                     67,                 1.2566,                0.86399,                 1.0863,                 0.5392,                0.46409,                0.41786,                0.15042,                 2.1954,                 2.0556,                  1.569,              0.0014844,              0.0014844,              0.0014844
                     68,                 1.2653,                0.87315,                 1.1047,                0.45786,                0.41061,                0.39086,                0.14088,                 2.1385,                 1.8948,                 1.5179,              0.0014766,              0.0014766,              0.0014766
                     69,                 1.3201,                0.85665,                 1.0769,                0.52465,                0.31101,                0.31215,                0.12711,                 2.2126,                 2.2192,                 1.5803,              0.0014688,              0.0014688,              0.0014688
                     70,                 1.2685,                0.87088,                 1.1184,                  0.497,                0.35359,                 0.2935,                0.12984,                 2.2221,                 2.4522,                 1.6553,               0.001461,               0.001461,               0.001461
                     71,                 1.3164,                0.91338,                 1.1228,                0.51375,                0.32597,                0.28416,                0.12077,                 2.2582,                 2.3537,                 1.6918,              0.0014532,              0.0014532,              0.0014532
                     72,                 1.4089,                0.93097,                 1.1626,                0.52249,                0.32645,                0.31135,                0.12499,                 2.2184,                 2.2684,                 1.6871,              0.0014454,              0.0014454,              0.0014454
                     73,                  1.268,                 0.8766,                 1.1123,                0.63002,                0.32597,                0.33707,                0.13727,                 2.1942,                  2.082,                 1.6017,              0.0014376,              0.0014376,              0.0014376
                     74,                 1.3547,                0.83112,                 1.1236,                0.51535,                0.34075,                0.30034,                0.13538,                  2.165,                 2.3059,                 1.5995,              0.0014297,              0.0014297,              0.0014297
                     75,                 1.3162,                0.83527,                 1.1397,                0.44804,                0.29834,                0.29511,                0.12204,                 2.2175,                 2.4147,                 1.6628,              0.0014219,              0.0014219,              0.0014219
                     76,                 1.3386,                0.86337,                 1.0914,                0.49793,                0.35068,                0.31926,                0.13977,                 2.1378,                 2.1237,                  1.599,              0.0014141,              0.0014141,              0.0014141
                     77,                  1.339,                0.88069,                 1.1256,                 0.4916,                0.39779,                0.37895,                0.16302,                 2.0957,                  1.802,                 1.5436,              0.0014063,              0.0014063,              0.0014063
                     78,                 1.2548,                0.81104,                 1.0865,                0.56682,                0.36464,                0.38091,                0.15355,                 2.0715,                 1.8656,                 1.5216,              0.0013985,              0.0013985,              0.0013985
                     79,                 1.2696,                0.80639,                 1.0964,                0.51642,                0.31492,                0.28803,                0.13064,                 2.1274,                 2.3238,                 1.5724,              0.0013907,              0.0013907,              0.0013907
                     80,                 1.3328,                 0.8801,                 1.0907,                0.46672,                0.29979,                0.27941,                0.12918,                 2.1676,                 2.3043,                 1.5687,              0.0013829,              0.0013829,              0.0013829
                     81,                 1.2596,                0.79054,                 1.0911,                0.45208,                0.46961,                 0.4037,                0.16425,                 2.1639,                 1.8372,                 1.5446,              0.0013751,              0.0013751,              0.0013751
                     82,                 1.2377,                0.80314,                 1.0727,                 0.4153,                0.36464,                0.31618,                0.14018,                 2.1938,                 2.0141,                 1.6003,              0.0013673,              0.0013673,              0.0013673
                     83,                 1.2379,                0.78097,                  1.087,                0.46597,                 0.3712,                0.31716,                0.13746,                 2.1959,                 2.1666,                 1.6124,              0.0013594,              0.0013594,              0.0013594
                     84,                 1.1714,                0.77318,                 1.0862,                 0.4347,                0.30165,                0.23974,                0.09515,                 2.3488,                 2.6079,                 1.6965,              0.0013516,              0.0013516,              0.0013516
                     85,                 1.2287,                0.79692,                 1.0768,                0.57596,                0.25967,                0.24469,                0.10722,                 2.3475,                 2.7736,                 1.6902,              0.0013438,              0.0013438,              0.0013438
                     86,                 1.1954,                0.77792,                 1.0906,                0.61039,                0.24862,                0.26742,                 0.1272,                 2.2342,                 2.6321,                 1.6376,               0.001336,               0.001336,               0.001336
                     87,                 1.2059,                0.75204,                 1.0525,                0.56193,                0.28729,                0.29531,                0.13528,                 2.2042,                 2.3425,                 1.6244,              0.0013282,              0.0013282,              0.0013282
                     88,                 1.2094,                0.76171,                 1.0847,                0.43901,                 0.3459,                  0.298,                 0.1292,                  2.197,                 2.3207,                  1.616,              0.0013204,              0.0013204,              0.0013204
                     89,                  1.181,                 0.7159,                 1.0602,                0.43683,                0.29834,                0.24976,                0.10273,                 2.2835,                 2.6139,                 1.6848,              0.0013126,              0.0013126,              0.0013126
                     90,                 1.2421,                0.76474,                 1.0934,                0.48904,                0.45856,                0.40838,                0.16354,                 2.2529,                 2.1566,                 1.6344,              0.0013048,              0.0013048,              0.0013048
                     91,                 1.1657,                0.72338,                  1.047,                0.55005,                0.56354,                0.50133,                 0.2162,                 2.1039,                 1.7877,                 1.5242,              0.0012969,              0.0012969,              0.0012969
                     92,                 1.1915,                0.74298,                 1.0575,                0.56876,                0.60773,                0.52214,                0.21223,                 2.1075,                 1.8121,                 1.5407,              0.0012891,              0.0012891,              0.0012891
                     93,                 1.1326,                0.71695,                 1.0521,                0.57384,                0.58564,                0.51738,                0.21911,                 2.0734,                 1.8404,                 1.5303,              0.0012813,              0.0012813,              0.0012813
