                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1076,                 3.9298,                 1.6436,                0.36099,                0.43094,                0.26098,                 0.0903,                 2.1327,                 3.6416,                 1.7425,                0.00014,                0.00014,                0.00014
                      1,                 2.1033,                 4.2194,                 1.6936,                0.20512,                 0.1989,                0.08317,                0.03679,                 1.9607,                 3.5688,                 1.4941,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.0568,                 3.4589,                 1.5874,                 0.3539,                0.35912,                0.27522,                0.12317,                 1.8275,                 3.1207,                 1.4163,             0.00013945,             0.00013945,             0.00013945
                      3,                 1.8756,                  2.682,                 1.4304,                0.38301,                0.33702,                0.28681,                0.12077,                 1.8377,                 2.9327,                 1.3899,             0.00021828,             0.00021828,             0.00021828
                      4,                 1.7795,                 2.1607,                  1.334,                0.24884,                0.45208,                0.23592,                0.09682,                 1.9306,                 2.5079,                 1.4086,             0.00029648,             0.00029648,             0.00029648
                      5,                 1.6176,                 1.7706,                 1.2557,                0.39387,                0.40884,                0.31684,                0.14627,                 1.9405,                 2.3811,                 1.4211,             0.00037406,             0.00037406,             0.00037406
                      6,                 1.7009,                 1.5527,                 1.3018,                0.35304,                0.47514,                0.26801,                0.10904,                 1.9203,                 2.8821,                 1.5465,             0.00045102,             0.00045102,             0.00045102
                      7,                 1.6657,                 1.5872,                 1.3374,                0.45422,                0.39084,                0.33927,                0.12677,                 2.0984,                 2.2425,                 1.6954,             0.00052735,             0.00052735,             0.00052735
                      8,                 1.6861,                 1.4722,                 1.3362,                0.32435,                0.27319,                0.22923,                0.09139,                  2.132,                 2.5925,                 1.7058,             0.00060305,             0.00060305,             0.00060305
                      9,                 1.6548,                 1.4628,                 1.3976,                0.16285,                0.18232,                0.06747,                0.03005,                  2.196,                 3.1641,                 1.8049,             0.00067813,             0.00067813,             0.00067813
                     10,                 1.6672,                 1.3821,                 1.3388,                0.02283,                0.11602,                0.01044,                0.00482,                 2.2932,                 6.7424,                 1.7164,             0.00075258,             0.00075258,             0.00075258
                     11,                  1.736,                 1.4597,                 1.3279,                0.04549,                 0.0663,                0.02455,                0.00947,                 2.5388,                 3.9755,                 2.0258,             0.00082641,             0.00082641,             0.00082641
                     12,                 1.6439,                   1.46,                  1.391,                0.07353,                 0.1105,                0.02985,                0.01118,                 2.5845,                 5.8118,                 2.1541,             0.00089961,             0.00089961,             0.00089961
                     13,                 1.6087,                 1.2358,                 1.3065,                0.12114,                0.12707,                0.04791,                0.01603,                 2.5799,                 5.0089,                 2.2002,             0.00097219,             0.00097219,             0.00097219
                     14,                 1.6399,                 1.3128,                 1.3655,                0.08592,                0.14917,                0.03468,                0.01063,                 2.8056,                 4.7405,                 2.4053,              0.0010441,              0.0010441,              0.0010441
                     15,                 1.7236,                 1.3404,                 1.3819,                0.08664,                0.07182,                0.03129,                 0.0129,                 2.9494,                 4.4594,                 2.6617,              0.0011155,              0.0011155,              0.0011155
                     16,                 1.5552,                 1.2564,                 1.2377,                0.05644,                0.12155,                0.02598,                0.00883,                 2.9769,                 4.4478,                 2.5685,              0.0011862,              0.0011862,              0.0011862
                     17,                 1.5511,                  1.232,                  1.287,                0.32411,                0.15103,                0.12522,                0.04978,                 2.5182,                 3.6556,                 1.9873,              0.0012563,              0.0012563,              0.0012563
                     18,                 1.6591,                 1.3292,                 1.2974,                0.24996,                0.25414,                 0.1463,                0.06093,                 2.3211,                 3.5778,                 1.7797,              0.0013257,              0.0013257,              0.0013257
                     19,                 1.5877,                  1.214,                 1.2884,                0.13885,                0.50276,                0.12229,                0.04496,                 2.2565,                 5.6621,                 1.7074,              0.0013945,              0.0013945,              0.0013945
                     20,                 1.6025,                 1.2828,                  1.288,                0.04967,                0.13812,                0.02284,                0.00936,                 2.3035,                 7.2058,                 1.7416,              0.0014627,              0.0014627,              0.0014627
                     21,                 1.6784,                 1.3395,                  1.311,                0.12868,                0.13812,                0.05082,                0.02018,                 2.4321,                  7.173,                 1.8812,              0.0015303,              0.0015303,              0.0015303
                     22,                 1.5203,                 1.2056,                 1.3284,                0.01679,                0.07735,                0.00676,                 0.0029,                 2.8474,                 9.3907,                 2.3975,              0.0015973,              0.0015973,              0.0015973
                     23,                 1.6489,                 1.1843,                 1.3335,                0.06734,                 0.0663,                0.02524,                0.01417,                  2.933,                 4.9957,                 2.2288,              0.0016636,              0.0016636,              0.0016636
                     24,                 1.5802,                 1.2007,                 1.2881,                0.11139,                0.13506,                 0.0516,                0.01873,                 2.6794,                 3.5364,                 1.9764,              0.0017293,              0.0017293,              0.0017293
                     25,                 1.6478,                 1.1956,                 1.2939,                0.12418,                 0.1326,                0.04095,                0.01745,                 2.5849,                 3.9044,                 2.0192,              0.0017944,              0.0017944,              0.0017944
                     26,                 1.6301,                 1.2385,                 1.3505,                0.10798,                0.16186,                 0.0347,                0.01405,                 2.5796,                 3.9057,                 2.0222,              0.0018047,              0.0018047,              0.0018047
                     27,                 1.6128,                 1.2589,                  1.286,                 0.2634,                0.22652,                0.15655,                0.04843,                  2.672,                 3.5451,                 2.0863,              0.0017969,              0.0017969,              0.0017969
                     28,                 1.5812,                 1.2134,                  1.281,                0.44562,                0.28729,                0.26666,                0.09813,                 2.4395,                 2.3527,                 1.9825,              0.0017891,              0.0017891,              0.0017891
                     29,                 1.5729,                  1.202,                 1.3376,                0.22124,                0.29282,                0.12916,                 0.0365,                  2.561,                 3.3771,                 2.2731,              0.0017813,              0.0017813,              0.0017813
                     30,                 1.6336,                 1.2872,                 1.3639,                0.27227,                0.22099,                0.17165,                0.06101,                 2.5913,                  2.862,                 2.0728,              0.0017735,              0.0017735,              0.0017735
                     31,                 1.5994,                 1.1574,                 1.2427,                0.03806,                0.29834,                0.01838,                0.00624,                 2.7378,                 29.177,                 2.1915,              0.0017656,              0.0017656,              0.0017656
                     32,                 1.6206,                 1.1504,                 1.3086,                0.12417,                0.21547,                0.05799,                0.01543,                  2.686,                 5.8534,                 2.3764,              0.0017578,              0.0017578,              0.0017578
                     33,                 1.5482,                 1.0726,                 1.2562,                0.10584,                0.07735,                0.03324,                0.01136,                 2.7515,                 4.6781,                  2.639,                0.00175,                0.00175,                0.00175
                     34,                  1.493,                 1.1026,                 1.2277,                0.05663,                0.06077,                0.01764,                0.00444,                 2.9163,                 6.6044,                 2.7978,              0.0017422,              0.0017422,              0.0017422
                     35,                  1.514,                 1.0794,                 1.2768,                0.01716,                0.38122,                0.01082,                0.00391,                 2.5606,                 23.369,                 2.5904,              0.0017344,              0.0017344,              0.0017344
